,pv
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,0.0
18,0.0
19,0.0
20,0.0
21,0.0
22,0.0
23,0.0
24,0.0
25,0.0
26,0.0
27,0.0
28,0.0
29,0.0
30,0.0
31,0.0
32,0.020666088825507353
33,0.020666088825507353
34,0.020666088825507353
35,0.020666088825507353
36,0.32414071619096696
37,0.32414071619096696
38,0.32414071619096696
39,0.32414071619096696
40,0.0767597367983576
41,0.0767597367983576
42,0.0767597367983576
43,0.0767597367983576
44,0.14949750232117895
45,0.14949750232117895
46,0.14949750232117895
47,0.14949750232117895
48,0.26865645967227497
49,0.26865645967227497
50,0.26865645967227497
51,0.26865645967227497
52,0.08138654328741454
53,0.08138654328741454
54,0.08138654328741454
55,0.08138654328741454
56,0.025396211652971998
57,0.025396211652971998
58,0.025396211652971998
59,0.025396211652971998
60,0.02540181382306414
61,0.02540181382306414
62,0.02540181382306414
63,0.02540181382306414
64,0.0
65,0.0
66,0.0
67,0.0
68,0.0
69,0.0
70,0.0
71,0.0
72,0.0
73,0.0
74,0.0
75,0.0
76,0.0
77,0.0
78,0.0
79,0.0
80,0.0
81,0.0
82,0.0
83,0.0
84,0.0
85,0.0
86,0.0
87,0.0
88,0.0
89,0.0
90,0.0
91,0.0
92,0.0
93,0.0
94,0.0
95,0.0
96,0.0
97,0.0
98,0.0
99,0.0
100,0.0
101,0.0
102,0.0
103,0.0
104,0.0
105,0.0
106,0.0
107,0.0
108,0.0
109,0.0
110,0.0
111,0.0
112,0.0
113,0.0
114,0.0
115,0.0
116,0.0
117,0.0
118,0.0
119,0.0
120,0.0
121,0.0
122,0.0
123,0.0
124,0.0
125,0.0
126,0.0
127,0.0
128,7.602474354450944e-05
129,7.602474354450944e-05
130,7.602474354450944e-05
131,7.602474354450944e-05
132,0.014638921776484931
133,0.014638921776484931
134,0.014638921776484931
135,0.014638921776484931
136,0.31244137484813417
137,0.31244137484813417
138,0.31244137484813417
139,0.31244137484813417
140,0.04176949794931992
141,0.04176949794931992
142,0.04176949794931992
143,0.04176949794931992
144,0.10918011981368345
145,0.10918011981368345
146,0.10918011981368345
147,0.10918011981368345
148,0.07131178828790004
149,0.07131178828790004
150,0.07131178828790004
151,0.07131178828790004
152,0.04975072771652205
153,0.04975072771652205
154,0.04975072771652205
155,0.04975072771652205
156,4.076689146589638e-05
157,4.076689146589638e-05
158,4.076689146589638e-05
159,4.076689146589638e-05
160,0.0
161,0.0
162,0.0
163,0.0
164,0.0
165,0.0
166,0.0
167,0.0
168,0.0
169,0.0
170,0.0
171,0.0
172,0.0
173,0.0
174,0.0
175,0.0
176,0.0
177,0.0
178,0.0
179,0.0
180,0.0
181,0.0
182,0.0
183,0.0
184,0.0
185,0.0
186,0.0
187,0.0
188,0.0
189,0.0
190,0.0
191,0.0
192,0.0
193,0.0
194,0.0
195,0.0
196,0.0
197,0.0
198,0.0
199,0.0
200,0.0
201,0.0
202,0.0
203,0.0
204,0.0
205,0.0
206,0.0
207,0.0
208,0.0
209,0.0
210,0.0
211,0.0
212,0.0
213,0.0
214,0.0
215,0.0
216,0.0
217,0.0
218,0.0
219,0.0
220,0.0
221,0.0
222,0.0
223,0.0
224,0.002163211356806324
225,0.002163211356806324
226,0.002163211356806324
227,0.002163211356806324
228,0.049247038179595845
229,0.049247038179595845
230,0.049247038179595845
231,0.049247038179595845
232,0.07186630856353696
233,0.07186630856353696
234,0.07186630856353696
235,0.07186630856353696
236,0.02633967010935111
237,0.02633967010935111
238,0.02633967010935111
239,0.02633967010935111
240,0.12654086667528502
241,0.12654086667528502
242,0.12654086667528502
243,0.12654086667528502
244,0.12337898468192042
245,0.12337898468192042
246,0.12337898468192042
247,0.12337898468192042
248,0.07423037276233728
249,0.07423037276233728
250,0.07423037276233728
251,0.07423037276233728
252,0.10823401644528638
253,0.10823401644528638
254,0.10823401644528638
255,0.10823401644528638
256,0.0
257,0.0
258,0.0
259,0.0
260,0.0
261,0.0
262,0.0
263,0.0
264,0.0
265,0.0
266,0.0
267,0.0
268,0.0
269,0.0
270,0.0
271,0.0
272,0.0
273,0.0
274,0.0
275,0.0
276,0.0
277,0.0
278,0.0
279,0.0
280,0.0
281,0.0
282,0.0
283,0.0
284,0.0
285,0.0
286,0.0
287,0.0
288,0.0
289,0.0
290,0.0
291,0.0
292,0.0
293,0.0
294,0.0
295,0.0
296,0.0
297,0.0
298,0.0
299,0.0
300,0.0
301,0.0
302,0.0
303,0.0
304,0.0
305,0.0
306,0.0
307,0.0
308,0.0
309,0.0
310,0.0
311,0.0
312,0.0
313,0.0
314,0.0
315,0.0
316,0.0
317,0.0
318,0.0
319,0.0
320,0.00010797717199075255
321,0.00010797717199075255
322,0.00010797717199075255
323,0.00010797717199075255
324,0.030196748457208565
325,0.030196748457208565
326,0.030196748457208565
327,0.030196748457208565
328,0.023217888764717646
329,0.023217888764717646
330,0.023217888764717646
331,0.023217888764717646
332,0.029054435887039688
333,0.029054435887039688
334,0.029054435887039688
335,0.029054435887039688
336,0.06920232194447638
337,0.06920232194447638
338,0.06920232194447638
339,0.06920232194447638
340,0.02234312351624072
341,0.02234312351624072
342,0.02234312351624072
343,0.02234312351624072
344,0.018281230689482675
345,0.018281230689482675
346,0.018281230689482675
347,0.018281230689482675
348,0.08099938318674506
349,0.08099938318674506
350,0.08099938318674506
351,0.08099938318674506
352,0.0
353,0.0
354,0.0
355,0.0
356,0.0
357,0.0
358,0.0
359,0.0
360,0.0
361,0.0
362,0.0
363,0.0
364,0.0
365,0.0
366,0.0
367,0.0
368,0.0
369,0.0
370,0.0
371,0.0
372,0.0
373,0.0
374,0.0
375,0.0
376,0.0
377,0.0
378,0.0
379,0.0
380,0.0
381,0.0
382,0.0
383,0.0
384,0.0
385,0.0
386,0.0
387,0.0
388,0.0
389,0.0
390,0.0
391,0.0
392,0.0
393,0.0
394,0.0
395,0.0
396,0.0
397,0.0
398,0.0
399,0.0
400,0.0
401,0.0
402,0.0
403,0.0
404,0.0
405,0.0
406,0.0
407,0.0
408,0.0
409,0.0
410,0.0
411,0.0
412,0.0
413,0.0
414,0.0
415,0.0
416,0.002002619634911848
417,0.002002619634911848
418,0.002002619634911848
419,0.002002619634911848
420,0.2918964103845831
421,0.2918964103845831
422,0.2918964103845831
423,0.2918964103845831
424,0.16075589126821715
425,0.16075589126821715
426,0.16075589126821715
427,0.16075589126821715
428,0.09855587646215441
429,0.09855587646215441
430,0.09855587646215441
431,0.09855587646215441
432,0.09251078963273753
433,0.09251078963273753
434,0.09251078963273753
435,0.09251078963273753
436,0.29522406646537247
437,0.29522406646537247
438,0.29522406646537247
439,0.29522406646537247
440,0.047923349979768645
