,pv
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,0.0
18,0.0
19,0.0
20,0.012052864574918408
21,0.012052864574918408
22,0.012052864574918408
23,0.012052864574918408
24,0.026125311015607333
25,0.026125311015607333
26,0.026125311015607333
27,0.026125311015607333
28,0.08850615568552689
29,0.08850615568552689
30,0.08850615568552689
31,0.08850615568552689
32,0.25005654829224155
33,0.25005654829224155
34,0.25005654829224155
35,0.25005654829224155
36,0.16841697095033442
37,0.16841697095033442
38,0.16841697095033442
39,0.16841697095033442
40,0.23747051410475975
41,0.23747051410475975
42,0.23747051410475975
43,0.23747051410475975
44,0.4605939186350858
45,0.4605939186350858
46,0.4605939186350858
47,0.4605939186350858
48,0.4957831130642712
49,0.4957831130642712
50,0.4957831130642712
51,0.4957831130642712
52,0.10309561508385305
53,0.10309561508385305
54,0.10309561508385305
55,0.10309561508385305
56,0.4131902930817204
57,0.4131902930817204
58,0.4131902930817204
59,0.4131902930817204
60,0.16171195915597636
61,0.16171195915597636
62,0.16171195915597636
63,0.16171195915597636
64,0.08123566096875304
65,0.08123566096875304
66,0.08123566096875304
67,0.08123566096875304
68,0.056612918861278956
69,0.056612918861278956
70,0.056612918861278956
71,0.056612918861278956
72,0.04927779752480046
73,0.04927779752480046
74,0.04927779752480046
75,0.04927779752480046
76,0.009338546547322841
77,0.009338546547322841
78,0.009338546547322841
79,0.009338546547322841
80,0.0
81,0.0
82,0.0
83,0.0
84,0.0
85,0.0
86,0.0
87,0.0
88,0.0
89,0.0
90,0.0
91,0.0
92,0.0
93,0.0
94,0.0
95,0.0
96,0.0
97,0.0
98,0.0
99,0.0
100,0.0
101,0.0
102,0.0
103,0.0
104,0.0
105,0.0
106,0.0
107,0.0
108,0.0
109,0.0
110,0.0
111,0.0
112,0.0
113,0.0
114,0.0
115,0.0
116,0.06789026399974149
117,0.06789026399974149
118,0.06789026399974149
119,0.06789026399974149
120,0.16814230781658965
121,0.16814230781658965
122,0.16814230781658965
123,0.16814230781658965
124,0.22275180146702428
125,0.22275180146702428
126,0.22275180146702428
127,0.22275180146702428
128,0.4554237890587133
129,0.4554237890587133
130,0.4554237890587133
131,0.4554237890587133
132,0.4262287136071348
133,0.4262287136071348
134,0.4262287136071348
135,0.4262287136071348
136,0.15783436197369696
137,0.15783436197369696
138,0.15783436197369696
139,0.15783436197369696
140,0.23934468607619477
141,0.23934468607619477
142,0.23934468607619477
143,0.23934468607619477
144,0.6150192264193621
145,0.6150192264193621
146,0.6150192264193621
147,0.6150192264193621
148,0.7397001324845704
149,0.7397001324845704
150,0.7397001324845704
151,0.7397001324845704
152,0.5046531166187352
153,0.5046531166187352
154,0.5046531166187352
155,0.5046531166187352
156,0.5237018127766827
157,0.5237018127766827
158,0.5237018127766827
159,0.5237018127766827
160,0.35202119753126315
161,0.35202119753126315
162,0.35202119753126315
163,0.35202119753126315
164,0.15613791320644974
165,0.15613791320644974
166,0.15613791320644974
167,0.15613791320644974
168,0.07126700487930979
169,0.07126700487930979
170,0.07126700487930979
171,0.07126700487930979
172,0.0029889811613403555
173,0.0029889811613403555
174,0.0029889811613403555
175,0.0029889811613403555
176,0.0
177,0.0
178,0.0
179,0.0
180,0.0
181,0.0
182,0.0
183,0.0
184,0.0
185,0.0
186,0.0
187,0.0
188,0.0
189,0.0
190,0.0
191,0.0
192,0.0
193,0.0
194,0.0
195,0.0
196,0.0
197,0.0
198,0.0
199,0.0
200,0.0
201,0.0
202,0.0
203,0.0
204,0.0
205,0.0
206,0.0
207,0.0
208,0.0
209,0.0
210,0.0
211,0.0
212,0.04510938055385013
213,0.04510938055385013
214,0.04510938055385013
215,0.04510938055385013
216,0.2134132549197014
217,0.2134132549197014
218,0.2134132549197014
219,0.2134132549197014
220,0.276488835751446
221,0.276488835751446
222,0.276488835751446
223,0.276488835751446
224,0.29183765793130184
225,0.29183765793130184
226,0.29183765793130184
227,0.29183765793130184
228,0.41622774420783926
229,0.41622774420783926
230,0.41622774420783926
231,0.41622774420783926
232,0.6685785374995961
233,0.6685785374995961
234,0.6685785374995961
235,0.6685785374995961
236,0.7213300158335219
237,0.7213300158335219
238,0.7213300158335219
239,0.7213300158335219
240,0.7508966943484021
241,0.7508966943484021
242,0.7508966943484021
243,0.7508966943484021
244,0.719278120657899
245,0.719278120657899
246,0.719278120657899
247,0.719278120657899
248,0.6403528613435875
249,0.6403528613435875
250,0.6403528613435875
251,0.6403528613435875
252,0.44427569715966003
253,0.44427569715966003
254,0.44427569715966003
255,0.44427569715966003
256,0.34862829999676864
257,0.34862829999676864
258,0.34862829999676864
259,0.34862829999676864
260,0.1620027789446473
261,0.1620027789446473
262,0.1620027789446473
263,0.1620027789446473
264,0.07044301547807542
265,0.07044301547807542
266,0.07044301547807542
267,0.07044301547807542
268,0.014282482954729052
269,0.014282482954729052
270,0.014282482954729052
271,0.014282482954729052
272,0.0
273,0.0
274,0.0
275,0.0
276,0.0
277,0.0
278,0.0
279,0.0
280,0.0
281,0.0
282,0.0
283,0.0
284,0.0
285,0.0
286,0.0
287,0.0
288,0.0
289,0.0
290,0.0
291,0.0
292,0.0
293,0.0
294,0.0
295,0.0
296,0.0
297,0.0
298,0.0
299,0.0
300,0.0
301,0.0
302,0.0
303,0.0
304,0.0001292532394093127
305,0.0001292532394093127
306,0.0001292532394093127
307,0.0001292532394093127
308,0.06257472452903351
309,0.06257472452903351
310,0.06257472452903351
311,0.06257472452903351
312,0.20709600284357124
313,0.20709600284357124
314,0.20709600284357124
315,0.20709600284357124
316,0.4143051022716257
317,0.4143051022716257
318,0.4143051022716257
319,0.4143051022716257
320,0.5646589330145088
321,0.5646589330145088
322,0.5646589330145088
323,0.5646589330145088
324,0.7031699356965134
325,0.7031699356965134
326,0.7031699356965134
327,0.7031699356965134
328,0.650063010954212
329,0.650063010954212
330,0.650063010954212
331,0.650063010954212
332,0.7680227485701361
333,0.7680227485701361
334,0.7680227485701361
335,0.7680227485701361
336,0.6301903253950302
337,0.6301903253950302
338,0.6301903253950302
339,0.6301903253950302
340,0.503150547710602
341,0.503150547710602
342,0.503150547710602
343,0.503150547710602
344,0.6209164054674121
345,0.6209164054674121
346,0.6209164054674121
347,0.6209164054674121
348,0.18568843506640384
349,0.18568843506640384
350,0.18568843506640384
351,0.18568843506640384
352,0.19224803696642648
353,0.19224803696642648
354,0.19224803696642648
355,0.19224803696642648
356,0.06939283290787475
357,0.06939283290787475
358,0.06939283290787475
359,0.06939283290787475
360,0.048906194461498693
361,0.048906194461498693
362,0.048906194461498693
363,0.048906194461498693
364,0.009241606617765857
365,0.009241606617765857
366,0.009241606617765857
367,0.009241606617765857
368,0.0
369,0.0
